ISSN;Título;Área de Avaliação;Estrato
0009-2797;CHEMICO-BIOLOGICAL INTERACTIONS (PRINT);ASTRONOMIA / FÍSICA                               ;B2
0009-3084;CHEMISTRY AND PHYSICS OF LIPIDS (PRINT);BIODIVERSIDADE;B1
0009-3130;CHEMISTRY OF NATURAL COMPOUNDS;BIODIVERSIDADE;B4
0009-4293;CHIMIA (BASEL);ASTRONOMIA / FÍSICA                               ;B4
0009-5915;CHROMOSOMA (BERLIN. PRINT);BIODIVERSIDADE;B1
0009-6725;CIÊNCIA E CULTURA;BIODIVERSIDADE;C 
0009-6725;CIÊNCIA E CULTURA;ASTRONOMIA / FÍSICA                               ;C 
0009-6725;CIÊNCIA E CULTURA;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0009-8140;CIVILISATIONS (BRUXELLES);ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0009-8558;CLAY MINERALS (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0010-3624;COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS;BIODIVERSIDADE;B1
0010-3640;COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS (PRINT);ASTRONOMIA / FÍSICA                               ;A2
0010-4140;COMPARATIVE POLITICAL STUDIES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0010-4175;COMPARATIVE STUDIES IN SOCIETY AND HISTORY (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0010-4655;COMPUTER PHYSICS COMMUNICATIONS;ASTRONOMIA / FÍSICA                               ;A2
0010-4825;COMPUTERS IN BIOLOGY AND MEDICINE;BIODIVERSIDADE;B2
0010-4825;COMPUTERS IN BIOLOGY AND MEDICINE;ASTRONOMIA / FÍSICA                               ;B3
0010-5937;CONJUNTO - REVISTA DE TEATRO LATINOAMERICANO;ARTES;C 
0010-5937;CONJUNTO;ARTES;C 
0010-7212;CONTADURÍA Y ADMINISTRACIÓN;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0010-8545;COORDINATION CHEMISTRY REVIEWS (PRINT);ASTRONOMIA / FÍSICA                               ;A1
0010-8812;CORNELL INTERNATIONAL LAW JOURNAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0010-9312;CORROSION (HOUSTON, TEX.);ASTRONOMIA / FÍSICA                               ;B3
0010-938X;CORROSION SCIENCE;ASTRONOMIA / FÍSICA                               ;A2
0011-1643;CROATICA CHEMICA ACTA;ASTRONOMIA / FÍSICA                               ;B5
0011-183X;CROP SCIENCE;BIODIVERSIDADE;A2
0011-183X;CROP SCIENCE;ASTRONOMIA / FÍSICA                               ;B3
0011-216X;CRUSTACEANA (LEIDEN. PRINT);BIODIVERSIDADE;B2
0011-216X;CRUSTACEANA (LEIDEN);BIODIVERSIDADE;B2
0011-2240;CRYOBIOLOGY (PRINT);BIODIVERSIDADE;B2
0011-2356;CUADERNOS AMERICANOS;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0011-3204;CURRENT ANTHROPOLOGY;ANTROPOLOGIA / ARQUEOLOGIA                        ;A1
0011-5258;DADOS (RIO DE JANEIRO. IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0012-365X;DISCRETE MATHEMATICS;ASTRONOMIA / FÍSICA                               ;B5
0012-3692;CHEST (AMERICAN COLLEGE OF CHEST PHYSICIANS);ASTRONOMIA / FÍSICA                               ;A2
0012-7353;DYNA (MEDELLÍN);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B2
0012-821X;EARTH AND PLANETARY SCIENCE LETTERS;ASTRONOMIA / FÍSICA                               ;A2
0013-1881;EDUCATIONAL RESEARCH (WINDSOR. PRINT);ARQUITETURA, URBANISMO E DESIGN;A2
0013-4651;JOURNAL OF THE ELECTROCHEMICAL SOCIETY;ASTRONOMIA / FÍSICA                               ;B1
0013-4686;ELECTROCHIMICA ACTA;ASTRONOMIA / FÍSICA                               ;A2
0013-5194;ELECTRONICS LETTERS;ASTRONOMIA / FÍSICA                               ;B4
0013-8746;ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA;BIODIVERSIDADE;B1
0013-9351;ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT);ASTRONOMIA / FÍSICA                               ;B2
0013-936X;ENVIRONMENTAL SCIENCE & TECHNOLOGY;ASTRONOMIA / FÍSICA                               ;A2
0013-9580;EPILEPSIA (COPENHAGEN);ASTRONOMIA / FÍSICA                               ;A2
0014-0139;ERGONOMICS (LONDON. PRINT);ARQUITETURA, URBANISMO E DESIGN;A1
0014-2182;ETUDES RURALES;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0014-2182;ETUDES RURALES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0014-2751;EUROPE (PARIS. 1923);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0014-3057;EUROPEAN POLYMER JOURNAL;ASTRONOMIA / FÍSICA                               ;A2
0014-3057;EUROPEAN POLYMER JOURNAL;ARQUITETURA, URBANISMO E DESIGN;A1
0014-4894;EXPERIMENTAL PARASITOLOGY;ASTRONOMIA / FÍSICA                               ;B3
0014-5793;FEBS LETTERS (PRINT);ASTRONOMIA / FÍSICA                               ;B1
0015-0193;FERROELECTRICS (PRINT);ASTRONOMIA / FÍSICA                               ;B5
0015-3826;FLORESTA (UFPR. IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0015-7228;FOREIGN POLICY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0015-8208;FORTSCHRITTE DER PHYSIK (BERLIN. WILEY-VCH);ASTRONOMIA / FÍSICA                               ;A2
0015-9018;FOUNDATIONS OF PHYSICS;ASTRONOMIA / FÍSICA                               ;B2
0016-0032;JOURNAL OF THE FRANKLIN INSTITUTE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0016-2361;FUEL (GUILDFORD);ASTRONOMIA / FÍSICA                               ;B1
0016-2361;FUEL (GUILDFORD);ASTRONOMIA / FÍSICA                               ;B1
0016-3287;FUTURES (LONDON);ARQUITETURA, URBANISMO E DESIGN;A1
0016-3287;FUTURES (LONDON);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0016-6707;GENETICA ('S-GRAVENHAGE);ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0016-7037;GEOCHIMICA ET COSMOCHIMICA ACTA;ASTRONOMIA / FÍSICA                               ;B1
0016-7061;GEODERMA (AMSTERDAM);ASTRONOMIA / FÍSICA                               ;B2
0016-7061;GEODERMA (AMSTERDAM);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0016-7169;GEOFÍSICA INTERNACIONAL;ASTRONOMIA / FÍSICA                               ;B5
0016-7363;GEOGRAPHICAL ANALYSIS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
